#           k/h    P           
    0.74415E+02    0.83089E-03
    0.75918E+02    0.78625E-03
    0.77452E+02    0.74398E-03
    0.79017E+02    0.70397E-03
    0.80613E+02    0.66608E-03
    0.82241E+02    0.63022E-03
    0.83903E+02    0.59626E-03
    0.85598E+02    0.56412E-03
    0.87327E+02    0.53369E-03
    0.89091E+02    0.50489E-03
    0.90891E+02    0.47763E-03
    0.92727E+02    0.45182E-03
    0.94600E+02    0.42739E-03
    0.96511E+02    0.40427E-03
    0.98461E+02    0.38238E-03
    0.10045E+03    0.36166E-03
    0.10248E+03    0.34206E-03
    0.10455E+03    0.32350E-03
    0.10666E+03    0.30594E-03
    0.10882E+03    0.28932E-03
    0.11101E+03    0.27359E-03
    0.11326E+03    0.25871E-03
    0.11554E+03    0.24462E-03
    0.11788E+03    0.23130E-03
    0.12026E+03    0.21868E-03
    0.12269E+03    0.20675E-03
    0.12517E+03    0.19546E-03
    0.12770E+03    0.18477E-03
    0.13028E+03    0.17466E-03
    0.13291E+03    0.16510E-03
    0.13559E+03    0.15605E-03
    0.13833E+03    0.14749E-03
    0.14113E+03    0.13939E-03
    0.14398E+03    0.13173E-03
    0.14689E+03    0.12448E-03
    0.14985E+03    0.11762E-03
    0.15288E+03    0.11114E-03
    0.15597E+03    0.10500E-03
    0.15912E+03    0.99201E-04
    0.16233E+03    0.93714E-04
    0.16561E+03    0.88524E-04
    0.16896E+03    0.83615E-04
    0.17237E+03    0.78974E-04
    0.17585E+03    0.74584E-04
    0.17941E+03    0.70433E-04
    0.18303E+03    0.66508E-04
    0.18673E+03    0.62797E-04
    0.19050E+03    0.59288E-04
    0.19435E+03    0.55970E-04
    0.19828E+03    0.52834E-04
    0.20228E+03    0.49869E-04
    0.20637E+03    0.47066E-04
    0.21054E+03    0.44416E-04
    0.21479E+03    0.41912E-04
    0.21913E+03    0.39545E-04
    0.22356E+03    0.37308E-04
    0.22807E+03    0.35194E-04
    0.23268E+03    0.33197E-04
    0.23738E+03    0.31309E-04
    0.24217E+03    0.29526E-04
    0.24707E+03    0.27841E-04
    0.25206E+03    0.26249E-04
    0.25715E+03    0.24745E-04
    0.26234E+03    0.23325E-04
    0.26764E+03    0.21983E-04
    0.27305E+03    0.20716E-04
    0.27857E+03    0.19520E-04
    0.28419E+03    0.18390E-04
    0.28994E+03    0.17324E-04
    0.29579E+03    0.16317E-04
    0.30177E+03    0.15367E-04
    0.30786E+03    0.14470E-04
    0.31408E+03    0.13623E-04
    0.32043E+03    0.12824E-04
    0.32690E+03    0.12071E-04
    0.33351E+03    0.11360E-04
    0.34024E+03    0.10689E-04
    0.34712E+03    0.10056E-04
    0.35413E+03    0.94596E-05
    0.36128E+03    0.88972E-05
    0.36858E+03    0.83669E-05
    0.37603E+03    0.78671E-05
    0.38362E+03    0.73960E-05
    0.39137E+03    0.69522E-05
    0.39928E+03    0.65339E-05
    0.40734E+03    0.61400E-05
    0.41557E+03    0.57689E-05
    0.42397E+03    0.54195E-05
    0.43253E+03    0.50905E-05
    0.44127E+03    0.47808E-05
    0.45019E+03    0.44894E-05
    0.45928E+03    0.42152E-05
    0.46856E+03    0.39572E-05
    0.47802E+03    0.37146E-05
    0.48768E+03    0.34864E-05
    0.49753E+03    0.32719E-05
    0.50758E+03    0.30702E-05
    0.51784E+03    0.28807E-05
    0.52830E+03    0.27026E-05
    0.53897E+03    0.25353E-05
    0.54986E+03    0.23781E-05
    0.56097E+03    0.22305E-05
    0.57230E+03    0.20920E-05
    0.58386E+03    0.19619E-05
    0.59565E+03    0.18399E-05
    0.60769E+03    0.17253E-05
    0.61996E+03    0.16179E-05
    0.63249E+03    0.15171E-05
    0.64526E+03    0.14226E-05
    0.65830E+03    0.13339E-05
    0.67160E+03    0.12508E-05
    0.68516E+03    0.11728E-05
    0.69901E+03    0.10997E-05
    0.71313E+03    0.10312E-05
    0.72753E+03    0.96704E-06
    0.74223E+03    0.90685E-06
    0.75722E+03    0.85045E-06
    0.77252E+03    0.79759E-06
    0.78813E+03    0.74805E-06
    0.80405E+03    0.70164E-06
    0.82029E+03    0.65813E-06
    0.83686E+03    0.61736E-06
    0.85377E+03    0.57915E-06
    0.87101E+03    0.54332E-06
    0.88861E+03    0.50974E-06
    0.90656E+03    0.47826E-06
    0.92488E+03    0.44874E-06
    0.94356E+03    0.42107E-06
    0.96262E+03    0.39512E-06
    0.98207E+03    0.37078E-06
    0.10019E+04    0.34796E-06
    0.10221E+04    0.32656E-06
    0.10428E+04    0.30648E-06
    0.10639E+04    0.28766E-06
    0.10854E+04    0.27001E-06
    0.11073E+04    0.25345E-06
    0.11296E+04    0.23792E-06
    0.11525E+04    0.22335E-06
    0.11757E+04    0.20969E-06
    0.11995E+04    0.19688E-06
    0.12237E+04    0.18486E-06
    0.12485E+04    0.17358E-06
    0.12737E+04    0.16301E-06
    0.12994E+04    0.15308E-06
